wallet,timing_class,first_buy_ts,first_buy_utc,first_buy_days_before_migration,last_buy_ts,last_buy_utc,last_buy_minutes_before_migration,buy_count_prebond,sell_count_prebond,buy_tokens_prebond,sell_tokens_prebond,net_tokens_prebond,buy_sol_prebond,sell_sol_prebond,buy_usd_prebond,sell_usd_prebond,maker_tags,maker_token_tags,maker_event_tags,gmgn_total_trade_snapshot,gmgn_realized_profit_snapshot,gmgn_unrealized_profit_snapshot,buy_sol_7d,buy_tokens_7d,net_tokens_7d,buy_count_7d,buy_sol_24h,buy_tokens_24h,net_tokens_24h,buy_count_24h,buy_sol_6h,buy_tokens_6h,net_tokens_6h,buy_count_6h,buy_sol_1h,buy_tokens_1h,net_tokens_1h,buy_count_1h,buy_sol_30m,buy_tokens_30m,net_tokens_30m,buy_count_30m,buy_sol_10m,buy_tokens_10m,net_tokens_10m,buy_count_10m,launch_bundle,late_signal_score,currently_top_holder,holder_token_account,holder_rank,holder_addr_type,holder_exchange,holder_current_balance,holder_current_supply_pct,holder_current_usd_value,holder_start_holding_ts,holder_start_holding_utc,holder_start_minutes_before_migration,holder_holder_timing_class,holder_is_on_curve,holder_is_new,holder_is_suspicious,holder_transfer_in,holder_buy_volume_cur,holder_buy_amount_cur,holder_sell_volume_cur,holder_sell_amount_cur,holder_buy_tx_count_cur,holder_sell_tx_count_cur,holder_history_bought_cost,holder_history_sold_income,holder_profit,holder_profit_change,holder_realized_profit,holder_unrealized_profit,holder_avg_cost,holder_avg_sold,holder_native_funder,holder_native_funding_amount,holder_native_funding_ts,holder_native_funding_utc,holder_native_funding_tx,holder_token_transfer_type,holder_tags,holder_maker_token_tags,holder_gmgn_name,holder_gmgn_twitter_username,holder_wallet_created_ts,holder_wallet_created_utc
7JZcLK71pc6FE8utoM4NnSGzjKRRtNwTNvuPyyrLEiUR,old-holder,1783653094,2026-07-10T03:11:34+00:00,41.80992,1783653769,2026-07-10T03:22:49+00:00,60195.033,7,0,314184.10059399996,0,314184.10059399996,0.068444439,0,5.39547512637,0,axiom,,,44,163.8565811211762,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4dVoG61s4rsf2p8wS2kz18zUCQdaQLymh2rYRZJSRuYE,old-holder,1783653400,2026-07-10T03:16:40+00:00,41.80638,1783653400,2026-07-10T03:16:40+00:00,60201.183,1,1,237397.109011,237397.109011,0.0,0.062908866,0.021245928,4.9572186408,1.6805529048,,,,2,-3.5006715359,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7NcrnJ2tKGxzPP3vfNSsGfXNm2wZXo4WAShrfDdwK91,old-holder,1783801744,2026-07-11T20:29:04+00:00,40.08943,1783801744,2026-07-11T20:29:04+00:00,57728.783,1,1,1826861.938819,1826861.938819,0.0,0.062644008,0.054205779,4.89938786568,4.18685436996,fresh_wallet,top_holder,,2,-0.80550607356,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTgKuyMoLcv4SZEsBLmnHTeV7oYcwxYyHv7yy3ZKdWNG,old-holder,1783653048,2026-07-10T03:10:48+00:00,41.81045,1783653048,2026-07-10T03:10:48+00:00,60207.05,1,1,221193.637973,221193.637973,0.0,0.062228319,0.007752499,4.89985783806,0.61446307074,,,,2,-4.34427842086,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGbqwcKyEwmQ1qZzybEzZN9R2YnHQ9FrFbMjstCsC6xU,launch-window,1783652248,2026-07-10T02:57:28+00:00,41.81971,1783653889,2026-07-10T03:24:49+00:00,60193.033,2,3,644861.236813,644861.236813,0.0,0.061081533,0.065568482,4.8235824783600005,5.16866406278,,,,5,0.20780232491,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2EBrCnTvUzvMKnMrNZPtDMFcLYeikJsHpJBUFjP98Pwd,old-holder,1783679266,2026-07-10T10:27:46+00:00,41.507,1783679266,2026-07-10T10:27:46+00:00,59770.083,1,1,1703250.0616,1703250.0616,0.0,0.060603883,0.052594567,4.82103889265,4.11184324806,,,,2,-0.9846627649,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7nUGn4xQmK2yMvqj4F85P6y8ojn7KGJuFvDJBVpC6mMJ,launch-window,1783652733,2026-07-10T03:05:33+00:00,41.8141,1783652733,2026-07-10T03:05:33+00:00,60212.3,1,1,359090.538415,359090.538415,0.0,0.059757162,0.066744316,4.7118522237,5.26011954396,,,,2,0.42036542129,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3pMCmFe98jH4c4ShL9S4z6g1dWspsiwbBQPH8aQz6mg8,launch-window,1783652776,2026-07-10T03:06:16+00:00,41.8136,1783653772,2026-07-10T03:22:52+00:00,60194.983,6,1,329380.838079,329380.838079,0.0,0.059259252,0.032551726,4.67041918096,2.56800566414,axiom,,,7,-2.51567996908,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HzpqZ6hawJrBvigACpGsivvdH3JbwSnhEtgKped2PE5B,old-holder,1783660142,2026-07-10T05:09:02+00:00,41.72834,1783660142,2026-07-10T05:09:02+00:00,60088.817,1,1,1181990.028429,1181990.028429,0.0,0.058903702,0.05479905,4.65280342098,4.3274809785,trojan,,,2,-0.58053000283,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pn5cdDRZV5oop1XYamW5BC47sNdeH2e67DCxXdhD9Zs,launch-window,1783652243,2026-07-10T02:57:23+00:00,41.81977,1783652243,2026-07-10T02:57:23+00:00,60220.467,1,1,628457.416683,628457.416683,0.0,0.058666666,0.094177609,4.6405332806,7.45039064799,axiom,bundler,,2,2.68550043031,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
