maker,base_amount,quote_amount,amount_usd,timestamp,event,tx_hash,price_usd,id,is_open_or_close,token_address,maker_tags,maker_token_tags,maker_event_tags,quote_address,quote_symbol,total_trade,balance,history_bought_amount,history_sold_income,history_sold_amount,realized_profit,unrealized_profit,maker_name,maker_twitter_username,maker_twitter_name,maker_avatar,maker_ens,priority_fee,tip_fee,gas_usd,gas_native,dex_usd,dex_native,utc,implied_mcap_usd
AWrTFnoSjCbJ4KhTzCQsjHwWrCt8jhXNKQubjdT1ENWw,6587959.114686,0.493827159,39.05679000531,1783652240,buy,3JvPPuyN8ykqz876AjTzZENd4FmfX53Q1jbwUD8zjYMnaDfsckCfaCJdx6myx2F81j5dLA5FpdYrSZ6VnyxWHzkJ,0.000005928511296136,NDMxOTI3NTU0MDA0MTcwMjA=,1,5mH155ePpNWJb2GktpftLJbcTvoxFaUrv7XkZPDtpump,[],"['top_holder', 'bundler']",[],So11111111111111111111111111111111111111111,,2,0,6587959.114686,65.56465294224,6587959.114686,25.48943697597,0,,,,,,0.0002,,0.01621345,0.000205,,,2026-07-10T02:57:20+00:00,5928.511296136
4uR3i2EfzGBMDoNUKGnnzdCvKa3cn49UJQwBt4YaqHc9,1950764.499237,0.148148147,11.71703694623,1783652240,buy,5GDbm3MocctQdQ8cQpKZ5GaPJZ2ZmgkyT3iHBFc6vM9jCJiyaZpCFmB49WTrntXoYnxZBoKhhzB4YUkyqRi5iyuU,0.000006006382084241,NDMxOTI3NTU0MDA0MjQwMjQ=,1,5mH155ePpNWJb2GktpftLJbcTvoxFaUrv7XkZPDtpump,[],['bundler'],[],So11111111111111111111111111111111111111111,,2,0,1950764.499237,14.621995696,1950764.499237,2.64208288815,0,,,,,,0.0001,,0.00830445,0.000105,,,2026-07-10T02:57:20+00:00,6006.382084241
8kLKsGS5qfydG7pfFbJSRAdx8CBhaePSHTr1yFh44bZ9,1939126.539872,0.148148147,11.71703694623,1783652240,buy,5QSorvH9TxvYUniYnjhMxTAJJCKQqATPVBaP4RLiqMamZXWgLAKVLoM6tZRLWw4V3wGdss5gRFXjCZNyvseUVfj3,0.000006042430293889,NDMxOTI3NTU0MDA0MjYwMjQ=,1,5mH155ePpNWJb2GktpftLJbcTvoxFaUrv7XkZPDtpump,[],['bundler'],[],So11111111111111111111111111111111111111111,,2,0,1939126.539872,14.4382402262,1939126.539872,2.46007307625,0,,,,,,0.0001,,0.00830445,0.000105,,,2026-07-10T02:57:20+00:00,6042.430293889
5SwBKASggA52FRNRZS6esVNRDNCgG18dAFcXbuAPhH7u,,,,1783652240,launch,CxqfrNfFFvfNbWyvY8hR12Sbkict54nTAGnkeLw2dueKpGB5qNahvfGtZG4Zjz4pje1QXDbCb9QYPrKmTEh8KFX,0,NDMxOTI3NTU0MDAwNTAwMjA=,0,5mH155ePpNWJb2GktpftLJbcTvoxFaUrv7XkZPDtpump,[],"['creator', 'top_holder', 'bundler']",[],,,7,0,10995837.923493,0.00049054248,78.310908,-1.1745997305243534,0,,,,,,,,,,,,2026-07-10T02:57:20+00:00,0.0
5SwBKASggA52FRNRZS6esVNRDNCgG18dAFcXbuAPhH7u,10000000,0.282220132,22.32079023988,1783652240,buy,CxqfrNfFFvfNbWyvY8hR12Sbkict54nTAGnkeLw2dueKpGB5qNahvfGtZG4Zjz4pje1QXDbCb9QYPrKmTEh8KFX,0.000002232079023988,NDMxOTI3NTU0MDAwNTAwOTI=,1,5mH155ePpNWJb2GktpftLJbcTvoxFaUrv7XkZPDtpump,[],"['creator', 'top_holder', 'bundler']",[],So11111111111111111111111111111111111111112,,7,0,10995837.923493,0.00049054248,78.310908,-1.1745997305243534,0,,,,,,0.00170874,,0.1359351466,0.00171874,,,2026-07-10T02:57:20+00:00,2232.079023988
7KnA1musga49Cq6cnj5JpNF6WuVxDajetb998AWuvTj,132419152.887431,4.309078518,340.80501998862,1783652240,buy,2yi3KqmnR1uAjdtaebEpctrNDs7JsKt1Kkfn7EGSXQ5kf4nqkTX9Hod6DxRecGzut6B2kBSLpv3V5YEzyHJmTfdX,0.000002573683737361,NDMxOTI3NTU0MDAwNTEwMjg=,1,5mH155ePpNWJb2GktpftLJbcTvoxFaUrv7XkZPDtpump,['fresh_wallet'],"['top_holder', 'bundler']",[],So11111111111111111111111111111111111111111,,5,0,132419152.887431,880.77805100726,132419152.887431,525.69819236465,0,,,,,,0.00032158,,0.0258292122,0.00032658,,,2026-07-10T02:57:20+00:00,2573.683737361
bKmj6BWv7mT9cVRYSUZh1o6hUydfNV6DQSKrXwvzta4,125061954.42555,5.370520114,424.75443581626,1783652240,buy,xgyRWZaUyEfRVaWLYmfFA3ndCzc3b54rsCKxiQK886WftCNQmrqRWzXpb3ymtPiMJ7i57UZaZYHdNo5E4be13Dy,0.000003396352134021,NDMxOTI3NTU0MDAwNTIwMjg=,1,5mH155ePpNWJb2GktpftLJbcTvoxFaUrv7XkZPDtpump,['fresh_wallet'],"['top_holder', 'bundler']",[],So11111111111111111111111111111111111111111,,5,0,125061954.42555,897.3016929093,125061954.42555,457.2700930689,0,,,,,,0.000299584,,0.02408954856,0.000304584,,,2026-07-10T02:57:20+00:00,3396.352134021
8cY73RBMZCF8hgJoXQAfjhsjPqxyCcdV3SZvwYdfsAcT,102518892.686993,5.827654921,460.90922770189,1783652240,buy,SnK6RwpeBNFWqnRF92aUhJYnmKo7NPDK1JdMbi8Cy1SLE4nEGLxyLAeQzLx8N72XRHF8Nas8rmqnchK7ij9njPQ,0.000004495846721916,NDMxOTI3NTU0MDAwNTMwMjg=,1,5mH155ePpNWJb2GktpftLJbcTvoxFaUrv7XkZPDtpump,['fresh_wallet'],"['top_holder', 'bundler']",[],So11111111111111111111111111111111111111111,,4,0,102518892.686993,675.8695105995,102518892.686993,201.64349328488,0,,,,,,0.000172215,0.006,0.48855593435,0.006177215,,,2026-07-10T02:57:20+00:00,4495.846721916
41VsoLSykdvvFjmN6qmf2gQ1uVGCmP2bKVKHp7DZ6x6g,38383110.733503,2.644444443,209.14911099687,1783652240,buy,5HbbLcFFvMuAa7LQtqXtnn6NvmaFnAPhUQv2UeZQwsfEK4kXXvfb8vSDBRy222YdrYgyLLE3DZBbLbEFFoF6FiC7,0.000005448988032961,NDMxOTI3NTU0MDAxNjYwMjA=,1,5mH155ePpNWJb2GktpftLJbcTvoxFaUrv7XkZPDtpump,['fresh_wallet'],['top_holder'],[],So11111111111111111111111111111111111111111,,16,0,38383110.733503,267.82062921888,38383110.733503,43.06438522464,0,,,,,,0.094550798,0.035,10.24656806382,0.129555798,,,2026-07-10T02:57:20+00:00,5448.988032961
Anubis512ho5t7S6LNSwoxUWdeQmX2kf3RvZ8ApHHF5w,29031999.428254,2.212345678,174.97441967302,1783652240,buy,27zBRtuUCUv5GdgUFNJwWfXoqeJUE5FnCKhqrFJD2JEB6gbm1jnmdvQ6eTctDLBywrz7zX53nPhxgTGq48igNcC2,0.000006026950372003,NDMxOTI3NTU0MDAyOTYwMzY=,1,5mH155ePpNWJb2GktpftLJbcTvoxFaUrv7XkZPDtpump,['padre'],"['top_holder', 'bundler']",[],So11111111111111111111111111111111111111111,,2,0,29031999.428254,200.4593883327,29031999.428254,21.82264749902,0,,,,,,0.0001,0.001,0.08739445,0.001105,,,2026-07-10T02:57:20+00:00,6026.950372003001
