minute_ts,utc,open,high,low,close,open_mcap,high_mcap,close_mcap,buy_sol,sell_sol,buy_usd,sell_usd,buy_count,sell_count,unique_buyers,return_1m,mcap_change_1m,return_5m,mcap_change_5m,return_10m,mcap_change_10m,return_30m,mcap_change_30m,return_60m,mcap_change_60m
1783652220,2026-07-10T02:57:00+00:00,5.928511296136e-06,1.1910675743901e-05,2.232079023988e-06,1.1910675743901e-05,5928.511296136,11910.675743901,11910.675743901,134.365727872,94.504224091,10628.75278714561,7475.77888175541,163,105,147,,,,,,,,,,
1783652280,2026-07-10T02:58:00+00:00,1.1843492312124e-05,1.3190342620851e-05,1.1008499263116e-05,1.2936344345169e-05,11843.492312124,13190.342620850999,12936.344345169,13.053430039,10.466986611,1032.38923839021,827.77351979989,40,27,35,0.08611338460735163,1025.6686012680002,,,,,,,,
1783652340,2026-07-10T02:59:00+00:00,1.2890325644868e-05,1.4497401049935e-05,1.045378500813e-05,1.2532486951296e-05,12890.325644868,14497.401049935,12532.486951296001,45.416414887,46.453549771,3590.1231420139998,3672.0836371270198,47,57,35,-0.03121881909581492,-403.8573938729987,,,,,,,,
1783652400,2026-07-10T03:00:00+00:00,1.216066941381e-05,1.3711697136515e-05,1.0196744324292e-05,1.1686122143514e-05,12160.66941381,13711.697136515,11686.122143514,23.218613636,25.388781721,1834.85566246755,2006.41656664238,47,44,35,-0.06753366758498613,-846.3648077820017,,,,,,,,
1783652460,2026-07-10T03:01:00+00:00,1.176858818883e-05,1.2509102925666e-05,9.326094654942e-06,1.2231030763368e-05,11768.588188830001,12509.102925666,12231.030763368,8.1443133,6.875471563,643.57688683826,543.31395136591,47,583,35,0.04662869454572949,544.9086198540008,,,,,,,,
1783652520,2026-07-10T03:02:00+00:00,1.2205209279438e-05,1.3167338958047e-05,1.2030311527869e-05,1.3167338958047e-05,12205.209279438,13167.338958047001,13167.338958047001,5.142830845,2.460939795,406.22435519966,194.38138394634,16,12,15,0.07655186327249286,936.3081946790007,0.1055072979204803,1256.6632141460013,,,,,,
1783652580,2026-07-10T03:03:00+00:00,1.3423760573458e-05,1.3538166617705e-05,8.230581660429e-06,9.74692879206e-06,13423.760573458,13538.166617705,9746.92879206,7.9493602050000005,18.000850602,627.55418379096,1420.85806848685,22,35,16,-0.25976472367612846,-3420.410165987001,-0.24654689671275387,-3189.415553109,,,,,,
1783652640,2026-07-10T03:04:00+00:00,9.779114505346e-06,1.075152554754e-05,9.779114505346e-06,1.075152554754e-05,9779.114505346,10751.52554754,10751.52554754,5.685583374,2.32675328,448.61787962248997,183.6269229862,30,10,25,0.10306803064965031,1004.5967554800009,-0.14210758093562814,-1780.9614037560004,,,,,,
1783652700,2026-07-10T03:05:00+00:00,1.0912404393175e-05,1.3343655446136e-05,1.0912404393175e-05,1.3337078432004e-05,10912.404393175,13343.655446136,13337.078432004,8.561877744,1.262253586,675.08780406242,99.52835688523,24,9,24,0.24048242019529842,2585.5528844639994,0.1412749471736705,1650.9562884900006,,,,,,
1783652760,2026-07-10T03:06:00+00:00,1.3447808753633e-05,1.5464175536253e-05,1.3447808753633e-05,1.5182733291444e-05,13447.808753633,15464.175536253,15182.733291444,7.81291976,4.226930654,615.78972531059,333.14427434769,16,12,12,0.13838524447836464,1845.6548594399992,0.2413290085833455,2951.702528075999,,,,,,
