wallet,token_account,rank,addr_type,exchange,current_balance,current_supply_pct,current_usd_value,start_holding_ts,start_holding_utc,start_minutes_before_migration,holder_timing_class,is_on_curve,is_new,is_suspicious,transfer_in,buy_volume_cur,buy_amount_cur,sell_volume_cur,sell_amount_cur,buy_tx_count_cur,sell_tx_count_cur,history_bought_cost,history_sold_income,profit,profit_change,realized_profit,unrealized_profit,avg_cost,avg_sold,native_funder,native_funding_amount,native_funding_ts,native_funding_utc,native_funding_tx,token_transfer_type,tags,maker_token_tags,gmgn_name,gmgn_twitter_username,wallet_created_ts,wallet_created_utc
3ZQ2E2vZx86EtS9APJF6GC2CTC4eayZqSQiLmky9aG4r,6CzKne3PbZzqH7VadN2K2vJcY8KYtvaUfxhunRBdRK71,TOP53,0,,3475506.315952,0.35880013788595594,473.1831643941066,1787683746,2026-08-25T18:49:06+00:00,-6971.25,post-migration,True,False,False,False,664.39209727302,5661777.970544,304.80936214842,2186271.654592,17,3,664.39209727302,304.80936214842,107.0574155284633,0.1595644851059513,22.09175026659805,84.96566526186524,0.00011734690069614002,0.0001394197109532133,,,,,,buy,fomo,,,,0,
ABx6hdAQvGYgBkVK4nk6mFAYxee9hPWMFE7zWjtAAkbH,5mUvZWvACtMVrbEyktNGtuQa8PobSG1Dk6FEPiVrWENg,TOP54,0,,3459996.442558,0.35719894824437226,471.0715264614577,1787734473,2026-08-26T08:54:33+00:00,-7816.7,post-migration,True,True,False,True,86.36336210577,592526.610122,0,0,1,0,86.36336210577,0,-81.35911295756586,-0.14727480185228148,0,-81.35911295756586,0.00014575440263853796,,is6MTRHEgyFLNTfYcuV4QBWLjrZBfmhVNYR6ccgr8KV,6.19909378,1787738499,2026-08-26T10:01:39+00:00,3ZxkXadHmYEph5XeJSoB7JNGhJs7XVY3e5asmYCc199eaHJNBZDhsGie7q5jdHPiUAchktxPycveX3TyGz85wqo7,transfer_in,fresh_wallet,transfer_in,,,1787738499,2026-08-26T10:01:39+00:00
ETaqrwNYGW3ZSinhjH7ofJmFYr9Cuo68LBBueRaRf8Am,87tdsCB6r7GVtH3A3USsbewVkiNcBJx6qbyj4HHoUKK9,TOP55,0,,3453569.483016,0.3565354495307394,470.19650890227274,1787340183,2026-08-21T19:23:03+00:00,-1245.2,post-migration,True,False,False,False,2842.41561604536,6819497.917705,0,0,16,0,2842.41561604536,0,-1199.9550517483558,-0.4219659641327377,-277.7712600910759,-922.18379165728,0.00041680716826172627,,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,49.99,1729376970,2024-10-19T22:29:30+00:00,,buy,,,,,1729376970,2024-10-19T22:29:30+00:00
CCcevzCYhst5pT6vRJWoZwZJ5b3ZqHAT3MCn64NHCz6A,BCKBXceSFbU9GQSUV5DVJ8D6rt7599sGYQ1EUJ2k9qcG,TOP56,0,,3257883.94726,0.3363335017197748,443.5543184938755,1787559388,2026-08-24T08:16:28+00:00,-4898.617,post-migration,True,False,False,False,836.65513337752,3257883.94726,0,0,3,0,836.65513337752,0,-402.27094354884457,-0.47559580164032406,0,-402.27094354884457,0.00025680937286952094,,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,19.157822,1784846625,2026-07-23T22:43:45+00:00,2f6R61JPZ1j6YZn5G1zUuH3BQrk1nahT87chj9dfBurXuHjg3ttXgq4uf8pFzrGmwbjkuojuELVnAVw5XYbTGkTZ,buy,gmgn,,,,1784846625,2026-07-23T22:43:45+00:00
7dMN9SGYXfr85BSvNnFfQsiWsjL2UJKXHvPSqdGeLBd8,GYPQUNf8MqV5bCMyroMaHkmCQQ74DDxtTK9VCV4C24bw,TOP57,0,,3159120.847915,0.32613751574202415,430.10792201951443,1787550490,2026-08-24T05:48:10+00:00,-4750.317,post-migration,True,False,False,False,1885.31734038126,3708947.113209,813.66874306639,549826.265294,6,2,1885.31734038126,813.66874306639,-649.7461713928556,-0.3431414498285845,-171.41721109802,-478.32896029483555,0.0005083160484189471,0.0014798651763776865,,,0,,,buy,fomo,bundler,,,0,
GmfYuSA3sNbGfTYhKjH2jtBiv54YaZfL8W6K7rg7Y9aQ,EzLDVkJB4G4ioSRGdvybuZ3EzjqNegEEYCFxnV5m4L6A,TOP58,0,,3148114.706024,0.32500127691260305,428.6094580334614,1787357565,2026-08-22T00:12:45+00:00,-1534.9,post-migration,True,False,False,False,1833.7169137563,5559386.391487,1569.64212333971,2411271.685463,97,22,1833.7169137563,1569.64212333971,137.58778220437142,0.07394553613921813,648.1205145960043,-510.5327323916329,0.00032984160204519006,0.0006509602931941348,,,0,,,buy,"fomo,fresh_wallet",,,,0,
DG1ENECbETNPTqiqbaw15v3Yw2tRPDgqSQs5Kq7qFGFD,DgLZEJ1Dzt1aahjXVw42HW5Xa1mMaDE2vEJHYGRm27vD,TOP59,0,,3110682.300837,0.32113687531999086,423.5131116807098,1787786461,2026-08-26T23:21:01+00:00,-8683.167,post-migration,True,False,False,False,537.96654204214,3110682.300837,0,0,3,0,537.96654204214,0,-114.70651970175015,-0.21312214013286235,0,-114.70651970175015,0.00017294165395720026,,4NyK1AdJBNbgaJ9EsKz3J4rfeHsuYdjkTPg3JaNdLeFw,88.249166041,1786918692,2026-08-16T22:18:12+00:00,5rGMQfdcTzGsYafZYkMMQ6UoXvLy6fCEbBDkaJHbUUNVqUaArHTomBeoAVXW7d5byzKe3TzxXvzQ9nZwudjnXU7d,buy,,,,,1786918692,2026-08-16T22:18:12+00:00
8KVZbbPChBaZvLB5iEXyYRyi1df99DaDPSPAbvnNSSLT,HA1YDN7PoTkpKFDGjHhPz5jDGgDHUvL6EkGQfk3u88fY,TOP60,0,,3066815.646025,0.3166082224089315,417.5407552386988,1787764073,2026-08-26T17:07:53+00:00,-8310.033,post-migration,True,False,False,False,380.75999977884,3066815.646025,0,0,2,0,380.75999977884,0,32.43654611609878,0.08422797089130864,0,32.43654611609878,0.0001241548380230665,,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,5.068925,1783009888,2026-07-02T16:31:28+00:00,4jHiyyiBQwauCNPTxVmJ1oersADT6xQbV8qP6hXifnaiCtCVtzjKR7nb9z7y9Ec1m8miKMwWP42FvthX82om9roq,buy,gmgn,,,,1783009888,2026-07-02T16:31:28+00:00
39WXstnCmFteykU8rYNvEBnoJeEsoQGUcbyPFkTsgFRe,B3tfvnhmgqCe2ZRehRmYBXCWshRvcn72n2433LY77mi,TOP61,0,,2975420.064054,0.3071728353222073,405.0974313724227,1787737284,2026-08-26T09:41:24+00:00,-7863.55,post-migration,True,False,False,False,4570.517875136,25732677.717033,4066.45807794712,22757257.652979,58,41,4570.517875136,4066.45807794712,-101.5412705374723,-0.022204050214884613,-76.52813953433325,-25.01313100313905,0.0001776153234185449,0.00017868840525320532,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,5.054,1787069154,2026-08-18T16:05:54+00:00,2xmUsRsZMUra2bH4wEC1CZGHZjWxRW4nW8QH6cn2ChDhW23QYxiufxEsLiS2BnpZxr42XDARPNaLQgqfPuskyAJx,buy,,,,,1787069154,2026-08-18T16:05:54+00:00
JDSHHcXQbGZhZdfxkREehneCdGHwgDCKTHhYDkc4qt62,6FzEoYLb1jfY6WqkMeVQLmiVvjN3nNrtZodQe787pCKj,TOP62,0,,2943727.914673,0.3039010393494555,400.78260925234133,1787670533,2026-08-25T15:08:53+00:00,-6751.033,post-migration,True,False,False,False,437.16908274814,2943727.914673,0,0,2,0,437.16908274814,0,-37.89902461321867,-0.08639300505758886,0,-37.89902461321867,0.00014850865821160728,,,,,,,buy,fomo,,,,0,
