wallet,requested_period,code,msg,data.twitter_bind,data.twitter_fans_num,data.twitter_username,data.twitter_name,data.ens,data.avatar,data.name,data.eth_balance,data.sol_balance,data.trx_balance,data.bnb_balance,data.balance,data.total_value,data.unrealized_profit,data.unrealized_pnl,data.realized_profit,data.pnl,data.pnl_1d,data.pnl_7d,data.pnl_30d,data.realized_profit_1d,data.realized_profit_7d,data.realized_profit_30d,data.winrate,data.all_pnl,data.total_profit,data.total_profit_pnl,data.buy_1d,data.sell_1d,data.buy_30d,data.sell_30d,data.buy_7d,data.sell_7d,data.buy,data.sell,data.history_bought_cost,data.token_avg_cost,data.token_sold_avg_profit,data.token_num,data.profit_num,data.pnl_lt_minus_dot5_num,data.pnl_minus_dot5_0x_num,data.pnl_lt_2x_num,data.pnl_2x_5x_num,data.pnl_gt_5x_num,data.last_active_timestamp,data.tags,data.tag_rank.axiom,data.followers_count,data.is_contract,data.updated_at,data.refresh_requested_at,data.avg_holding_peroid,data.risk.token_active,data.risk.token_honeypot,data.risk.token_honeypot_ratio,data.risk.no_buy_hold,data.risk.no_buy_hold_ratio,data.risk.sell_pass_buy,data.risk.sell_pass_buy_ratio,data.risk.fast_tx,data.risk.fast_tx_ratio,data.tag_rank.gmgn,data.tag_rank.photon,data.tag_rank.kol
Cip99wg8DAMCRkk4eXLkv1jxmagwQ6Tuj8w1JGDQdY6y,7d,0,success,False,0,,,,,,100.634981087,100.634981087,100.634981087,100.634981087,100.634981087,0,0,0,12299.006428743447,0.5539196225791815,0,0.5539196225791815,0.7303334420131908,0,3870.927970288617,12299.006428743447,,0.20368261392318776,46014.4993923828,0.20368261392318776,0,0,194,286,83,101,83,101,,,,,,,,,,,1787794756,"[""axiom""]",,0,False,1787794756,,,11,0,0,3,0.21428571428571427,0,0,0,0,,,
Cip99wg8DAMCRkk4eXLkv1jxmagwQ6Tuj8w1JGDQdY6y,30d,0,success,False,0,,,,,,100.634981087,100.634981087,100.634981087,100.634981087,100.634981087,0,0,0,12299.006428743447,0.7303334420131908,0,0.5539196225791815,0.7303334420131908,0,3870.927970288617,12299.006428743447,,0.20368261392318776,46014.4993923828,0.20368261392318776,0,0,194,286,83,101,194,286,,,,,,,,,,,1787794756,"[""axiom""]",,0,False,1787794756,,,96,0,0,3,0.030303030303030304,2,0.020833333333333332,16,0.16666666666666666,,,
Bzzy8fSPnhWNMb8Rc3SkJGWoDMf9rs934bDRMRZPmCYT,7d,0,success,False,0,,,,,,599.75002412,599.75002412,599.75002412,599.75002412,599.75002412,0,0,0,67028.53992181162,0.21365520627977627,0,0.21365520627977627,0.2988111689773121,0,13019.558107571396,67028.53992181162,,0.24217913053505463,78937.16236671769,0.24217913053505463,0,0,911,1475,185,304,185,304,,,,,,,,,,,1787794747,"[""axiom""]",,0,False,1787794747,,,,,,,,,,,,,,
Bzzy8fSPnhWNMb8Rc3SkJGWoDMf9rs934bDRMRZPmCYT,30d,0,success,False,0,,,,,,599.75002412,599.75002412,599.75002412,599.75002412,599.75002412,0,0,0,67028.53992181162,0.2988111689773121,0,0.21365520627977627,0.2988111689773121,0,13019.558107571396,67028.53992181162,,0.24217913053505463,78937.16236671769,0.24217913053505463,0,0,911,1475,185,304,911,1475,,,,,,,,,,,1787794747,"[""axiom""]",,0,False,1787794747,,,,,,,,,,,,,,
CXNC1TTiF7Z3o1pFr9yH1spZLeWygQ5gPXgCt7Rz6trb,30d,0,success,False,0,,,,,,36.192380232,36.192380232,36.192380232,36.192380232,36.192380232,0,0,0,6855.906377058464,0.7543219790518321,0,0.8696668176781798,0.7543219790518321,0,2601.57725763204,6855.906377058464,,0.36028942531755326,51842.63666517598,0.36028942531755326,0,0,128,216,43,76,128,216,,,,,,,,,,,1787794747,"[""axiom"", ""photon""]",,0,False,1787794747,,,0,0,0,20,1,0,0,0,0,,,
CXNC1TTiF7Z3o1pFr9yH1spZLeWygQ5gPXgCt7Rz6trb,7d,0,success,False,0,,,,,,36.192380232,36.192380232,36.192380232,36.192380232,36.192380232,0,0,0,6855.906377058464,0.8696668176781798,0,0.8696668176781798,0.7543219790518321,0,2601.57725763204,6855.906377058464,,0.36028942531755326,51842.63666517598,0.36028942531755326,0,0,128,216,43,76,43,76,,,,,,,,,,,1787794747,"[""axiom"", ""photon""]",,0,False,1787794747,,,0,0,0,20,1,0,0,0,0,,,
6dtUFfjQfQ35tkwGRMs3NFsF9sYn3mRV4UtGaC4uBh8J,7d,0,success,False,0,,,,,,729.929043829,729.929043829,729.929043829,729.929043829,729.929043829,0,0,0,74046.89929694534,0.9577454008656956,0,0.9577454008656956,0.5410690513988176,0,38525.952152658996,74046.89929694534,,0.37526612873961834,78977.04233870398,0.37526612873961834,0,0,1588,1706,466,499,466,499,,,,,,,,,,,1787795303,"[""axiom""]",,0,False,,,,,,,,,,,,,,,
6dtUFfjQfQ35tkwGRMs3NFsF9sYn3mRV4UtGaC4uBh8J,30d,0,success,False,0,,,,,,729.929043829,729.929043829,729.929043829,729.929043829,729.929043829,0,0,0,74046.89929694534,0.5410690513988176,0,0.9577454008656956,0.5410690513988176,0,38525.952152658996,74046.89929694534,,0.37526612873961834,78977.04233870398,0.37526612873961834,0,0,1588,1706,466,499,1588,1706,,,,,,,,,,,1787795303,"[""axiom""]",,0,False,,,,,,,,,,,,,,,
FHgfsbUcqdd9iXY75yN2KErCnVsxNYwo486nYzFuTVc8,30d,0,success,False,0,,,,,,837.92298233,837.92298233,837.92298233,837.92298233,837.92298233,0,0,0,70527.24288983089,0.46602120889132304,0,0.8365129610253301,0.46602120889132304,0,43041.78810031244,70527.24288983089,,0.34079138963099465,74420.09480584017,0.34079138963099465,0,0,1590,1753,469,521,1590,1753,,,,,,,,,,,1787795303,"[""axiom""]",,0,False,1787795303,,,,,,,,,,,,,,
FHgfsbUcqdd9iXY75yN2KErCnVsxNYwo486nYzFuTVc8,7d,0,success,False,0,,,,,,837.92298233,837.92298233,837.92298233,837.92298233,837.92298233,0,0,0,70527.24288983089,0.8365129610253301,0,0.8365129610253301,0.46602120889132304,0,43041.78810031244,70527.24288983089,,0.34079138963099465,74420.09480584017,0.34079138963099465,0,0,1590,1753,469,521,469,521,,,,,,,,,,,1787795303,"[""axiom""]",,0,False,1787795303,,,,,,,,,,,,,,
3VjkDRH1M9mZ9gNfHWzTmSvydJ6CwXamsN74rndZrrpk,7d,0,success,False,0,,,,,,647.330687075,647.330687075,647.330687075,647.330687075,647.330687075,0,0,0,66076.3559080814,0.6808329390966825,0,0.6808329390966825,0.46759153591830344,0,30428.497143870958,66076.3559080814,,0.3222517216598115,71425.44783607854,0.3222517216598115,0,0,1589,1689,467,508,467,508,,,,,,,,,,,1787795303,"[""axiom""]",,0,False,1787795303,,,,,,,,,,,,,,
3VjkDRH1M9mZ9gNfHWzTmSvydJ6CwXamsN74rndZrrpk,30d,0,success,False,0,,,,,,647.330687075,647.330687075,647.330687075,647.330687075,647.330687075,0,0,0,66076.3559080814,0.46759153591830344,0,0.6808329390966825,0.46759153591830344,0,30428.497143870958,66076.3559080814,,0.3222517216598115,71425.44783607854,0.3222517216598115,0,0,1589,1689,467,508,1589,1689,,,,,,,,,,,1787795303,"[""axiom""]",,0,False,1787795303,,,,,,,,,,,,,,
9H8xpLFE9p7kHDJG3S2JLqigy1VuvuohgFfECnVJtUBj,30d,0,success,False,0,,,,,,668.616769548,668.616769548,668.616769548,668.616769548,668.616769548,0,0,0,64126.65148299723,0.4526275299057974,0,0.6754423736268813,0.4526275299057974,0,29792.35363458265,64126.65148299723,,0.30517114555272096,68349.69314540013,0.30517114555272096,0,0,1589,1699,471,498,1589,1699,,,,,,,,,,,1787795303,"[""axiom""]",,0,False,,,,,,,,,,,,,,,
9H8xpLFE9p7kHDJG3S2JLqigy1VuvuohgFfECnVJtUBj,7d,0,success,False,0,,,,,,668.616769548,668.616769548,668.616769548,668.616769548,668.616769548,0,0,0,64126.65148299723,0.6754423736268813,0,0.6754423736268813,0.4526275299057974,0,29792.35363458265,64126.65148299723,,0.30517114555272096,68349.69314540013,0.30517114555272096,0,0,1589,1699,471,498,471,498,,,,,,,,,,,1787795303,"[""axiom""]",,0,False,,,,,,,,,,,,,,,
F5CymCUo7E2MQGxfYFxBSTk6PaBbQyqMporpPdu6iWF9,7d,0,success,False,0,,,,,,709.476285602,709.476285602,709.476285602,709.476285602,709.476285602,0,0,0,63298.34730156608,0.29253742218473167,0,0.29253742218473167,0.39869305318028136,0,17076.833808610605,63298.34730156608,,0.2788057493524359,67124.11138943711,0.2788057493524359,0,0,1610,1673,478,489,478,489,,,,,,,,,,,1787795303,"[""axiom""]",,0,False,1787795303,,,,,,,,,,,,,,
F5CymCUo7E2MQGxfYFxBSTk6PaBbQyqMporpPdu6iWF9,30d,0,success,False,0,,,,,,709.476285602,709.476285602,709.476285602,709.476285602,709.476285602,0,0,0,63298.34730156608,0.39869305318028136,0,0.29253742218473167,0.39869305318028136,0,17076.833808610605,63298.34730156608,,0.2788057493524359,67124.11138943711,0.2788057493524359,0,0,1610,1673,478,489,1610,1673,,,,,,,,,,,1787795303,"[""axiom""]",,0,False,1787795303,,,,,,,,,,,,,,
3tgpbmw99da6WFPfPh7uRPMLpEhSjuj8JMRXrPD2wiYA,7d,0,success,False,0,,,,,,553.775422845,553.775422845,553.775422845,553.775422845,553.775422845,0,0,0,53892.26959751788,0.6182852140260655,0,0.6182852140260655,0.38542668054814555,0,27028.457689271734,53892.26959751788,,0.28547289116431707,60605.1417372106,0.28547289116431707,0,0,1593,1738,470,502,470,502,,,,,,,,,,,1787795303,"[""axiom""]",,0,False,,,,,,,,,,,,,,,
3tgpbmw99da6WFPfPh7uRPMLpEhSjuj8JMRXrPD2wiYA,30d,0,success,False,0,,,,,,553.775422845,553.775422845,553.775422845,553.775422845,553.775422845,0,0,0,53892.26959751788,0.38542668054814555,0,0.6182852140260655,0.38542668054814555,0,27028.457689271734,53892.26959751788,,0.28547289116431707,60605.1417372106,0.28547289116431707,0,0,1593,1738,470,502,1593,1738,,,,,,,,,,,1787795303,"[""axiom""]",,0,False,,,,,,,,,,,,,,,
