
clue-01.jpg
3 4 55.0 0.000122 [2, 1]
3 3 35.0 0.0001 [1, 5]
4 2 92.0 1.6e-05 [4, 2]
5 2 66.0 0.000112 [6, 5]
8 2 57.0 2.6e-05 [4, 8]
4 2 52.0 0.000167 [3, 6]
4 2 33.0 5.6e-05 [1, 6]
7 2 26.0 8e-05 [3, 7]
4 2 23.0 0.000469 [0, 4]
2 2 18.0 0.029654 [3, 5]
8 2 14.0 5.7e-05 [1, 4]
2 1 82.0 9e-06 [7, 5]
4 1 71.0 3e-06 [2, 8]
4 1 68.0 0.000244 [4, 5]
3 1 63.0 0.000997 [0, 4]
3 1 60.0 0.000212 [4, 5]
4 1 53.0 0.000544 [6, 5]
3 1 53.0 2.6e-05 [4, 8]
2 1 52.0 0.000297 [8, 3]
4 1 51.0 0.000275 [8, 7]

clue-02.jpg
4 6 93.0 0.001778 [2, 4]
4 2 84.0 0.000122 [4, 4]
5 2 64.0 0.000179 [7, 6]
3 2 59.0 0.000538 [8, 4]
3 2 55.0 0.000657 [6, 2]
2 2 53.0 0.000386 [2, 6]
922 2 23.0 0.002389 [2, 5]
4 2 20.0 0.000253 [5, 5]
3 1 70.0 0.001043 [8, 5]
1 1 63.0 4.2e-05 [7, 1]
74 1 51.0 0.002563 [4, 2]
2 1 41.0 1.4e-05 [7, 2]
4 1 38.0 0.000123 [5, 6]
4 1 38.0 0.000118 [5, 7]
4 1 38.0 1.1e-05 [5, 8]
3 1 34.0 0.001796 [8, 7]
4 1 34.0 0.000625 [0, 0]
5 1 31.0 0.004577 [2, 5]
9 1 30.0 0.001045 [5, 4]
2 1 28.0 0.000338 [5, 6]

clue-03.jpg
4 4 38.0 0.00014 [1, 1]
4 3 95.0 8.2e-05 [2, 5]
1 3 79.0 0.000186 [1, 5]
7 3 54.0 0.000447 [1, 6]
3 2 87.0 0.000118 [2, 2]
9 2 76.0 0.00118 [2, 4]
4 2 61.0 0.000149 [4, 5]
3 2 60.0 1.7e-05 [1, 5]
1 2 47.0 0.000538 [4, 3]
4 2 47.0 1.7e-05 [6, 2]
7 2 34.0 1.3e-05 [3, 1]
7 2 29.0 0.000237 [6, 6]
3 2 28.0 1.7e-05 [2, 5]
7 2 27.0 9.9e-05 [7, 0]
2 2 23.0 0.000888 [0, 2]
3 2 14.0 0.000424 [3, 2]
4 1 90.0 9.5e-05 [5, 2]
4 1 75.0 0.000283 [1, 6]
3 1 64.0 0.000385 [8, 1]
9 1 62.0 0.000385 [8, 1]

clue-04.jpg
2 4 42.0 0.001243 [5, 1]
4 3 89.0 3e-06 [1, 4]
2 3 55.0 0.001684 [5, 4]
3 2 65.0 3.2e-05 [5, 7]
4 2 54.0 0.000423 [0, 7]
3 2 53.0 5e-05 [4, 6]
2 2 39.0 0.00054 [2, 8]
34 2 36.0 0.000864 [2, 8]
7 2 32.0 0.000325 [8, 5]
7 2 26.0 1.4e-05 [3, 2]
3 2 23.0 0.019411 [3, 0]
8 2 19.0 0.001067 [5, 2]
4 2 16.0 0.000459 [2, 7]
7 1 82.0 0.0009 [4, 5]
7 1 75.0 5e-06 [7, 7]
3 1 59.0 1.1e-05 [8, 5]
7 1 54.0 0.002958 [7, 0]
4 1 45.0 0.000622 [4, 4]
4 1 40.0 0.000661 [1, 1]
5 1 37.0 0.000514 [7, 1]

clue-05.jpg
4 4 67.0 0.001266 [2, 7]
4 4 43.0 4.6e-05 [4, 5]
4 3 63.0 0.000184 [6, 2]
7 2 83.0 2e-06 [2, 2]
4 2 72.0 0.000498 [4, 1]
7 2 60.0 7e-06 [6, 3]
4 2 49.0 0.000196 [5, 5]
7 2 23.0 9.6e-05 [3, 6]
2 2 14.0 0.016737 [6, 5]
1 1 78.0 0.000395 [4, 4]
3 1 73.0 2.3e-05 [0, 4]
14 1 60.0 0.000955 [1, 4]
3 1 59.0 0.000733 [7, 7]
4 1 51.0 3e-06 [4, 7]
4 1 49.0 0.000665 [0, 2]
2 1 48.0 0.000182 [4, 5]
8 1 45.0 1.5e-05 [5, 2]
5 1 41.0 0.000129 [7, 6]
14 1 39.0 0.000335 [7, 3]
49 1 32.0 0.000153 [3, 4]

clue-06.jpg
3 3 29.0 0.003491 [1, 6]
3 2 20.0 4.6e-05 [4, 3]
3 1 78.0 0.001286 [5, 0]
241 1 73.0 0.000145 [4, 4]
3 1 64.0 2e-06 [2, 5]
4 1 50.0 0.000311 [6, 0]
2 1 39.0 0.000247 [4, 7]
7 1 38.0 7e-06 [1, 7]
4 1 37.0 0.001547 [0, 5]
24 1 28.0 0.000145 [4, 4]
7 1 27.0 3.7e-05 [4, 1]
2415 1 26.0 0.000214 [4, 4]
7 1 26.0 0.000161 [3, 4]
7 1 25.0 0.000427 [5, 1]
2 1 24.0 0.00857 [6, 4]
1 1 21.0 0.005437 [2, 5]
2 1 20.0 0.001756 [5, 5]

clue-07.jpg
60 7 96.0 0.000636 [7, 5]
7 3 17.0 0.002273 [7, 5]
7 2 76.0 0.000221 [1, 3]
7 2 49.0 0.000379 [4, 5]
7 2 43.0 2e-06 [4, 7]
14 2 38.0 0.00119 [5, 5]
7 2 37.0 0.000494 [8, 6]
1 2 31.0 0.012513 [1, 5]
4 2 17.0 0.001086 [1, 5]
714 1 33.0 0.002663 [4, 4]
2 1 28.0 0.001688 [5, 7]
0 1 17.0 0.000225 [1, 2]

clue-08.jpg
74 6 58.0 0.001161 [7, 1]
7 3 66.0 2.3e-05 [8, 2]
3 3 35.0 0.001317 [5, 7]
3 3 34.0 0.000422 [5, 3]
4 2 36.0 0.002531 [6, 2]
1 2 29.0 5e-06 [2, 8]
4 2 19.0 0.00256 [4, 2]
2 2 18.0 0.002584 [6, 5]
8193 2 13.0 0.001378 [5, 5]
8 1 78.0 0.000556 [2, 2]
4 1 75.0 0.000459 [7, 3]
4 1 71.0 1.1e-05 [3, 8]
7 1 60.0 4e-06 [8, 0]
3 1 57.0 0.006186 [5, 4]
4 1 54.0 7.5e-05 [7, 2]
4 1 50.0 0.000407 [2, 5]
4 1 47.0 0.004139 [4, 6]
4 1 47.0 0.000896 [7, 4]
7 1 45.0 0.007644 [3, 2]
5 1 44.0 0.00155 [7, 0]

clue-09.jpg
4 3 84.0 0.005168 [2, 8]
4 3 66.0 0.000183 [4, 5]
2 3 51.0 6e-05 [2, 2]
4 2 76.0 0.001957 [2, 6]
8 2 32.0 0.000479 [3, 6]
3 2 26.0 0.000257 [3, 3]
1 2 24.0 0.000738 [6, 6]
24 2 18.0 0.000883 [3, 7]
4 1 78.0 0.000668 [5, 1]
3 1 72.0 2.4e-05 [3, 4]
3 1 69.0 0.000101 [0, 4]
7 1 68.0 0.000248 [1, 3]
4 1 63.0 6.1e-05 [1, 4]
77 1 61.0 0.000735 [0, 2]
2 1 50.0 4.9e-05 [8, 7]
